Название книги,Автор книги,Издательство,Цена,Скидка на книгу
"Теоретический минимум по Computer Science. Сети, криптография и data science","Феррейра, Пиктет",Питер,1 263 ₽,Нет скидки
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,ДМК-Пресс,1 481 ₽,Нет скидки
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,Бомбора,607 ₽,Нет скидки
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,Питер,1 631 ₽,Нет скидки
Многопоточный JavaScript,"Хантер, Инглиш",ДМК-Пресс,1 924 ₽,Нет скидки
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,Лань,1 390 ₽,Нет скидки
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,Лань,1 390 ₽,Нет скидки
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань,2 257 ₽,Нет скидки
Алгоритмы Data Science и их практическая реализация на Python,"Протодьяконов, Пылов, Садовников",Инфра-Инженерия,1 583 ₽,Нет скидки
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо,1 818 ₽,Нет скидки
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер,2 962 ₽,Нет скидки
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер,921 ₽,Нет скидки
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер,1 667 ₽,Нет скидки
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,821 ₽,Нет скидки
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,642 ₽,Нет скидки
Head First. Изучаем C#,"Стиллмен, Грин",Питер,2 908 ₽,Нет скидки
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М,2 837 ₽,Нет скидки
Дисциплина программирования. Матем.обеспечение ЭВМ,Дейкстра Э.,RUGRAM,1 943 ₽,Нет скидки
Алгоритмы и программы. Язык С++. Учебное пособие для СП,"Конова, Поллак",Лань,1 219 ₽,Нет скидки
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань,2 202 ₽,Нет скидки
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,"Матросов, Родионов, Братусь",ДМК-Пресс,2 665 ₽,Нет скидки
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер,2 836 ₽,Нет скидки
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен, Джепикс",Диалектика,5 702 ₽,Нет скидки
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер,2 255 ₽,Нет скидки
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников, Мухина",Лань,1 275 ₽,Нет скидки
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань,2 085 ₽,Нет скидки
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань,1 507 ₽,Нет скидки
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань,1 507 ₽,Нет скидки
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,"Гайдук, Пьявченко, Беляев",Лань,2 292 ₽,Нет скидки
Язык программирования С++,Страуструп Бьерн,Бином,1 716 ₽,Нет скидки
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров, Шилкина",Лань,1 613 ₽,Нет скидки
Svelte и Sapper в действии,Волкманн Марк,Питер,4 197 ₽,Нет скидки
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин, Сахнов",Бомбора,965 ₽,Нет скидки
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1 628 ₽,Нет скидки
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1 333 ₽,Нет скидки
Большая книга проектов Python,Свейгарт Эл,Питер,1 688 ₽,Нет скидки
